,Канал: 0,Канал: 1
110054,-0.576,-0.557
110196,-0.635,-0.674
110338,-0.654,-0.801
110480,-0.557,-0.928
110622,-0.527,-1.025
110764,-0.498,-1.123
110906,-0.381,-1.201
111048,-0.313,-1.289
111190,-0.332,-1.377
111332,-0.303,-1.455
111474,-0.186,-1.533
111616,-0.166,-1.602
111758,-0.098,-1.660
111900,-0.059,-1.738
112042,0.049,-1.807
112184,0.049,-1.865
112326,0.000,-1.953
112468,0.078,-2.012
112610,0.215,-2.080
112752,0.156,-2.139
112894,0.195,-2.197
113036,0.244,-2.246
113178,0.225,-2.285
113320,0.293,-2.324
113462,0.244,-2.354
113604,0.225,-2.393
113746,0.313,-2.432
113888,0.303,-2.471
114030,0.303,-2.500
114172,0.439,-2.539
114314,0.313,-2.559
114456,0.439,-2.598
114598,0.430,-2.607
114740,0.527,-2.646
114882,0.469,-2.686
115024,0.498,-2.734
115166,0.547,-2.793
115308,0.430,-2.871
115450,0.459,-2.920
115592,0.508,-2.959
115734,0.469,-2.979
115876,0.557,-2.988
116018,0.576,-2.979
116160,0.586,-2.959
116302,0.615,-2.891
116444,0.615,-2.773
116586,0.566,-2.666
116728,0.576,-2.549
116870,0.547,-2.461
117012,0.576,-2.363
117154,0.625,-2.246
117296,0.615,-2.139
117438,0.596,-2.041
117580,0.557,-1.924
117722,0.566,-1.807
117864,0.498,-1.689
118006,0.557,-1.553
118148,0.654,-1.426
118290,0.508,-1.270
118432,0.498,-1.113
118574,0.527,-0.928
118716,0.518,-0.752
118858,0.547,-0.625
119000,0.479,-0.469
119142,0.576,-0.322
119284,0.439,-0.205
119426,0.488,-0.068
119568,0.527,0.078
119710,0.391,0.205
119852,0.410,0.352
119994,0.420,0.488
120136,0.469,0.605
120278,0.469,0.723
120420,0.420,0.840
120562,0.430,0.928
120704,0.283,1.025
120846,0.293,1.123
120988,0.195,1.221
121130,0.117,1.309
121272,0.039,1.387
121414,0.127,1.465
121556,-0.010,1.553
121698,-0.176,1.631
121840,-0.156,1.689
121982,-0.205,1.758
122124,-0.234,1.816
122266,-0.205,1.895
122408,-0.273,1.963
122550,-0.254,2.031
122692,-0.264,2.100
122834,-0.391,2.158
122976,-0.469,2.197
