,Канал: 0,Канал: 1
133000,0.26367188,0.68359375
133250,0.19531250,0.78125000
133500,0.19531250,0.86914063
133750,0.11718750,0.92773438
134000,0.04882813,0.99609375
134250,-0.00976563,1.05468750
134500,-0.02929688,1.11328125
134750,-0.09765625,1.20117188
135000,-0.13671875,1.24023438
135250,-0.18554688,1.26953125
135500,-0.26367188,1.32812500
135750,-0.32226563,1.36718750
136000,-0.31250000,1.39648438
136250,-0.40039063,1.43554688
136500,-0.41992188,1.44531250
136750,-0.43945313,1.48437500
137000,-0.46875000,1.51367188
137250,-0.45898438,1.57226563
137500,-0.49804688,1.64062500
137750,-0.53710938,1.66992188
138000,-0.59570313,1.68945313
138250,-0.62500000,1.65039063
138500,-0.63476563,1.54296875
138750,-0.63476563,1.43554688
139000,-0.64453125,1.35742188
139250,-0.61523438,1.24023438
139500,-0.63476563,1.16210938
139750,-0.62500000,1.05468750
140000,-0.58593750,0.91796875
140250,-0.58593750,0.77148438
140500,-0.57617188,0.61523438
140750,-0.56640625,0.45898438
141000,-0.57617188,0.30273438
141250,-0.55664063,0.17578125
141500,-0.52734375,0.02929688
141750,-0.51757813,-0.10742188
142000,-0.50781250,-0.22460938
142250,-0.47851563,-0.36132813
142500,-0.44921875,-0.49804688
142750,-0.43945313,-0.60546875
143000,-0.39062500,-0.72265625
143250,-0.34179688,-0.81054688
143500,-0.32226563,-0.89843750
143750,-0.23437500,-0.94726563
144000,-0.20507813,-1.02539063
144250,-0.15625000,-1.07421875
144500,-0.08789063,-1.14257813
144750,-0.05859375,-1.21093750
145000,-0.00976563,-1.25976563
145250,0.06835938,-1.30859375
145500,0.12695313,-1.33789063
145750,0.13671875,-1.37695313
146000,0.21484375,-1.42578125
146250,0.25390625,-1.45507813
146500,0.31250000,-1.48437500
146750,0.33203125,-1.51367188
147000,0.34179688,-1.55273438
147250,0.40039063,-1.60156250
147500,0.41015625,-1.66992188
147750,0.44921875,-1.69921875
148000,0.48828125,-1.70898438
148250,0.50781250,-1.66992188
148500,0.54687500,-1.58203125
148750,0.55664063,-1.48437500
149000,0.53710938,-1.38671875
149250,0.58593750,-1.28906250
149500,0.56640625,-1.19140625
149750,0.54687500,-1.08398438
150000,0.53710938,-0.95703125
150250,0.54687500,-0.82031250
150500,0.52734375,-0.66406250
150750,0.52734375,-0.49804688
151000,0.45898438,-0.34179688
151250,0.47851563,-0.21484375
151500,0.44921875,-0.07812500
151750,0.42968750,0.07812500
152000,0.41015625,0.19531250
152250,0.39062500,0.33203125
152500,0.32226563,0.45898438
152750,0.31250000,0.57617188
153000,0.26367188,0.68359375
153250,0.22460938,0.76171875
153500,0.17578125,0.83984375
153750,0.10742188,0.92773438
154000,0.07812500,0.99609375
154250,0.00000000,1.06445313
154500,-0.02929688,1.13281250
154750,-0.09765625,1.19140625
155000,-0.15625000,1.25000000
155250,-0.20507813,1.28906250
155500,-0.26367188,1.32812500
155750,-0.29296875,1.35742188
156000,-0.31250000,1.39648438
156250,-0.37109375,1.41601563
156500,-0.41992188,1.44531250
156750,-0.43945313,1.49414063
157000,-0.45898438,1.52343750
157250,-0.46875000,1.57226563
157500,-0.51757813,1.62109375
157750,-0.51757813,1.66992188
158000,-0.58593750,1.68945313
158250,-0.60546875,1.65039063
158500,-0.61523438,1.53320313
158750,-0.62500000,1.45507813
159000,-0.65429688,1.35742188
159250,-0.62500000,1.25976563
159500,-0.62500000,1.17187500
159750,-0.63476563,1.05468750
160000,-0.58593750,0.93750000
160250,-0.60546875,0.79101563
160500,-0.57617188,0.62500000
160750,-0.56640625,0.45898438
161000,-0.57617188,0.31250000
161250,-0.55664063,0.17578125
161500,-0.51757813,0.03906250
161750,-0.50781250,-0.09765625
162000,-0.48828125,-0.21484375
162250,-0.46875000,-0.35156250
162500,-0.43945313,-0.48828125
162750,-0.41015625,-0.60546875
163000,-0.39062500,-0.72265625
163250,-0.35156250,-0.80078125
163500,-0.31250000,-0.87890625
163750,-0.25390625,-0.94726563
164000,-0.18554688,-1.01562500
164250,-0.11718750,-1.07421875
164500,-0.08789063,-1.15234375
164750,-0.03906250,-1.21093750
165000,0.03906250,-1.25976563
165250,0.06835938,-1.29882813
165500,0.10742188,-1.33789063
165750,0.16601563,-1.38671875
166000,0.23437500,-1.42578125
166250,0.24414063,-1.45507813
166500,0.29296875,-1.47460938
166750,0.31250000,-1.51367188
167000,0.36132813,-1.55273438
167250,0.37109375,-1.61132813
167500,0.43945313,-1.66015625
167750,0.47851563,-1.69921875
168000,0.51757813,-1.71875000
168250,0.53710938,-1.67968750
168500,0.54687500,-1.58203125
168750,0.54687500,-1.46484375
169000,0.54687500,-1.37695313
169250,0.57617188,-1.28906250
169500,0.53710938,-1.18164063
169750,0.53710938,-1.08398438
170000,0.49804688,-0.95703125
170250,0.51757813,-0.82031250
170500,0.51757813,-0.66406250
170750,0.50781250,-0.49804688
171000,0.49804688,-0.36132813
171250,0.45898438,-0.20507813
171500,0.46875000,-0.05859375
171750,0.40039063,0.06835938
172000,0.39062500,0.19531250
172250,0.39062500,0.33203125
172500,0.36132813,0.46875000
172750,0.28320313,0.57617188
173000,0.28320313,0.67382813
173250,0.23437500,0.78125000
173500,0.17578125,0.84960938
173750,0.13671875,0.92773438
174000,0.07812500,0.99609375
174250,0.02929688,1.05468750
174500,-0.04882813,1.13281250
174750,-0.10742188,1.19140625
175000,-0.15625000,1.24023438
175250,-0.20507813,1.27929688
175500,-0.26367188,1.30859375
175750,-0.30273438,1.35742188
176000,-0.34179688,1.37695313
176250,-0.40039063,1.43554688
176500,-0.39062500,1.45507813
176750,-0.42968750,1.48437500
177000,-0.46875000,1.53320313
177250,-0.48828125,1.56250000
177500,-0.50781250,1.63085938
177750,-0.52734375,1.66992188
178000,-0.58593750,1.68945313
178250,-0.60546875,1.65039063
178500,-0.63476563,1.55273438
178750,-0.63476563,1.44531250
179000,-0.65429688,1.35742188
179250,-0.64453125,1.25976563
179500,-0.61523438,1.16210938
179750,-0.61523438,1.06445313
180000,-0.59570313,0.93750000
180250,-0.62500000,0.77148438
180500,-0.59570313,0.62500000
180750,-0.57617188,0.46875000
181000,-0.56640625,0.32226563
181250,-0.54687500,0.17578125
181500,-0.54687500,0.03906250
181750,-0.51757813,-0.09765625
182000,-0.51757813,-0.23437500
182250,-0.45898438,-0.35156250
182500,-0.42968750,-0.48828125
182750,-0.41015625,-0.62500000
183000,-0.41992188,-0.72265625
183250,-0.37109375,-0.81054688
183500,-0.32226563,-0.87890625
183750,-0.27343750,-0.94726563
184000,-0.22460938,-1.00585938
184250,-0.12695313,-1.07421875
184500,-0.08789063,-1.14257813
184750,-0.04882813,-1.21093750
185000,0.00976563,-1.26953125
185250,0.07812500,-1.29882813
185500,0.14648438,-1.35742188
185750,0.16601563,-1.38671875
186000,0.19531250,-1.41601563
186250,0.24414063,-1.45507813
186500,0.29296875,-1.48437500
186750,0.33203125,-1.51367188
187000,0.36132813,-1.55273438
187250,0.39062500,-1.61132813
187500,0.41992188,-1.66992188
187750,0.43945313,-1.71875000
188000,0.50781250,-1.72851563
188250,0.50781250,-1.66992188
188500,0.53710938,-1.57226563
188750,0.57617188,-1.47460938
189000,0.53710938,-1.37695313
189250,0.58593750,-1.28906250
189500,0.53710938,-1.19140625
189750,0.54687500,-1.09375000
190000,0.53710938,-0.96679688
190250,0.52734375,-0.82031250
190500,0.52734375,-0.66406250
190750,0.49804688,-0.49804688
191000,0.50781250,-0.36132813
191250,0.46875000,-0.20507813
191500,0.45898438,-0.05859375
191750,0.40039063,0.07812500
192000,0.37109375,0.20507813
192250,0.39062500,0.34179688
192500,0.36132813,0.45898438
192750,0.30273438,0.57617188
193000,0.28320313,0.67382813
193250,0.20507813,0.78125000
193500,0.16601563,0.85937500
193750,0.14648438,0.92773438
194000,0.08789063,1.00585938
194250,-0.01953125,1.06445313
194500,-0.06835938,1.14257813
194750,-0.05859375,1.20117188
195000,-0.15625000,1.24023438
195250,-0.22460938,1.28906250
195500,-0.24414063,1.32812500
195750,-0.28320313,1.36718750
196000,-0.34179688,1.39648438
196250,-0.38085938,1.43554688
196500,-0.41015625,1.45507813
196750,-0.42968750,1.48437500
197000,-0.43945313,1.52343750
197250,-0.49804688,1.58203125
197500,-0.51757813,1.64062500
197750,-0.52734375,1.66992188
198000,-0.55664063,1.68945313
198250,-0.62500000,1.65039063
198500,-0.64453125,1.55273438
198750,-0.64453125,1.45507813
199000,-0.63476563,1.36718750
199250,-0.64453125,1.26953125
199500,-0.63476563,1.16210938
199750,-0.61523438,1.04492188
200000,-0.60546875,0.92773438
200250,-0.59570313,0.79101563
200500,-0.58593750,0.63476563
200750,-0.57617188,0.47851563
201000,-0.55664063,0.31250000
201250,-0.55664063,0.17578125
201500,-0.57617188,0.02929688
201750,-0.51757813,-0.09765625
202000,-0.50781250,-0.22460938
202250,-0.49804688,-0.36132813
202500,-0.47851563,-0.47851563
202750,-0.41992188,-0.60546875
203000,-0.37109375,-0.71289063
203250,-0.36132813,-0.81054688
203500,-0.30273438,-0.86914063
203750,-0.24414063,-0.94726563
204000,-0.21484375,-1.02539063
204250,-0.11718750,-1.07421875
204500,-0.11718750,-1.16210938
204750,-0.04882813,-1.21093750
205000,-0.00976563,-1.25976563
205250,0.04882813,-1.30859375
205500,0.12695313,-1.33789063
205750,0.16601563,-1.38671875
206000,0.21484375,-1.42578125
