,Канал: 0,Канал: 1
129482,-0.400,2.236
129648,-0.459,2.295
129814,-0.332,2.334
129980,-0.566,2.373
130146,-0.557,2.402
130312,-0.498,2.432
130478,-0.674,2.480
130644,-0.547,2.510
130810,-0.586,2.539
130976,-0.527,2.578
131142,-0.635,2.617
131308,-0.635,2.676
131474,-0.586,2.734
131640,-0.625,2.813
131806,-0.664,2.871
131972,-0.625,2.910
132138,-0.762,2.930
132304,-0.811,2.920
132470,-0.791,2.881
132636,-0.781,2.803
132802,-0.693,2.617
132968,-0.703,2.510
133134,-0.742,2.402
133300,-0.732,2.295
133466,-0.742,2.188
133632,-0.752,2.061
133798,-0.674,1.943
133964,-0.693,1.807
134130,-0.684,1.670
134296,-0.840,1.514
134462,-0.801,1.357
134628,-0.762,1.182
134794,-0.781,0.996
134960,-0.762,0.781
135126,-0.742,0.615
135292,-0.703,0.430
135458,-0.752,0.283
135624,-0.732,0.127
135790,-0.645,-0.020
135956,-0.615,-0.176
136122,-0.693,-0.342
136288,-0.527,-0.498
136454,-0.566,-0.635
136620,-0.615,-0.771
136786,-0.498,-0.908
136952,-0.576,-1.025
137118,-0.449,-1.143
137284,-0.371,-1.240
137450,-0.352,-1.338
137616,-0.264,-1.436
137782,-0.117,-1.523
137948,-0.176,-1.602
138114,-0.059,-1.689
138280,0.000,-1.758
138446,-0.029,-1.836
138612,-0.039,-1.924
138778,-0.020,-2.002
138944,0.059,-2.080
139110,0.068,-2.139
139276,0.293,-2.197
139442,0.156,-2.256
139608,0.137,-2.295
139774,0.283,-2.344
139940,0.313,-2.383
140106,0.352,-2.432
140272,0.264,-2.451
140438,0.273,-2.490
140604,0.400,-2.529
140770,0.420,-2.568
140936,0.410,-2.588
141102,0.391,-2.617
141268,0.449,-2.686
141434,0.430,-2.734
141600,0.449,-2.793
141766,0.586,-2.861
141932,0.449,-2.920
142098,0.537,-2.939
142264,0.508,-2.930
142430,0.537,-2.920
142596,0.566,-2.861
142762,0.615,-2.734
142928,0.596,-2.588
143094,0.615,-2.490
143260,0.566,-2.354
143426,0.566,-2.246
143592,0.645,-2.129
143758,0.498,-1.992
143924,0.547,-1.865
144090,0.635,-1.748
144256,0.508,-1.592
144422,0.537,-1.436
144588,0.615,-1.250
144754,0.635,-1.064
144920,0.605,-0.869
145086,0.508,-0.684
145252,0.449,-0.518
145418,0.449,-0.352
145584,0.439,-0.186
145750,0.576,-0.020
145916,0.508,0.127
146082,0.430,0.273
146248,0.449,0.430
146414,0.410,0.576
146580,0.381,0.713
146746,0.322,0.850
146912,0.361,0.967
147078,0.273,1.084
147244,0.146,1.201
147410,0.195,1.289
147576,-0.039,1.377
147742,-0.059,1.465
147908,-0.029,1.553
148074,-0.234,1.650
148240,-0.107,1.729
148406,-0.264,1.807
148572,-0.283,1.885
148738,-0.273,1.973
148904,-0.303,2.041
149070,-0.264,2.109
149236,-0.400,2.168
149402,-0.518,2.227
149568,-0.400,2.256
149734,-0.439,2.305
149900,-0.557,2.354
150066,-0.537,2.383
150232,-0.605,2.422
150398,-0.654,2.451
150564,-0.547,2.480
150730,-0.498,2.520
150896,-0.508,2.559
151062,-0.557,2.578
151228,-0.664,2.637
151394,-0.615,2.686
151560,-0.732,2.764
151726,-0.645,2.832
151892,-0.664,2.852
152058,-0.742,2.900
152224,-0.693,2.910
152390,-0.605,2.881
152556,-0.762,2.832
152722,-0.762,2.695
152888,-0.830,2.568
153054,-0.703,2.451
153220,-0.732,2.344
153386,-0.732,2.217
153552,-0.723,2.119
153718,-0.703,2.002
153884,-0.820,1.885
154050,-0.713,1.729
154216,-0.693,1.592
154382,-0.742,1.445
154548,-0.762,1.260
154714,-0.742,1.074
154880,-0.645,0.879
155046,-0.703,0.703
155212,-0.654,0.527
155378,-0.693,0.361
155544,-0.664,0.215
155710,-0.684,0.049
155876,-0.713,-0.107
156042,-0.605,-0.264
156208,-0.654,-0.410
156375,-0.693,-0.566
156541,-0.586,-0.703
156707,-0.576,-0.850
156873,-0.508,-0.977
157039,-0.537,-1.084
157205,-0.391,-1.201
157371,-0.234,-1.289
157537,-0.254,-1.367
157703,-0.225,-1.465
157869,-0.127,-1.553
158035,-0.020,-1.641
158201,-0.137,-1.709
158367,0.000,-1.807
158533,-0.020,-1.895
158699,0.049,-1.963
158865,0.186,-2.041
159031,0.078,-2.109
159197,0.117,-2.178
159363,0.234,-2.236
159529,0.254,-2.275
159695,0.117,-2.305
159861,0.205,-2.354
160027,0.332,-2.393
160193,0.303,-2.441
160359,0.283,-2.480
160525,0.430,-2.510
160691,0.313,-2.549
160857,0.498,-2.568
161023,0.361,-2.607
161189,0.381,-2.646
161355,0.420,-2.686
161521,0.469,-2.744
161687,0.566,-2.822
161853,0.439,-2.881
162019,0.498,-2.910
162185,0.488,-2.939
162351,0.625,-2.930
162517,0.547,-2.891
162683,0.566,-2.822
162849,0.566,-2.646
163015,0.547,-2.529
163181,0.615,-2.412
163347,0.557,-2.314
163513,0.576,-2.188
163679,0.557,-2.061
163845,0.605,-1.934
164011,0.527,-1.816
164177,0.557,-1.670
164343,0.605,-1.514
164509,0.596,-1.338
164675,0.576,-1.162
164841,0.391,-0.967
165007,0.586,-0.762
165173,0.479,-0.596
165339,0.508,-0.430
165505,0.508,-0.264
165671,0.596,-0.107
165837,0.469,0.049
166003,0.557,0.205
166169,0.410,0.371
166335,0.449,0.518
166501,0.371,0.664
166667,0.430,0.801
166833,0.361,0.918
166999,0.244,1.035
167165,0.254,1.143
167331,0.205,1.240
167497,0.127,1.318
167663,-0.039,1.436
167829,-0.059,1.523
167995,-0.068,1.611
168161,-0.098,1.689
168327,-0.146,1.768
168493,-0.195,1.855
168659,-0.254,1.934
168825,-0.352,2.012
168991,-0.342,2.080
169157,-0.332,2.148
169323,-0.352,2.197
169489,-0.469,2.246
169655,-0.283,2.295
169821,-0.479,2.324
169987,-0.479,2.383
170153,-0.459,2.412
170319,-0.566,2.451
170485,-0.615,2.471
170651,-0.527,2.500
170817,-0.596,2.539
170983,-0.635,2.568
171149,-0.654,2.617
171315,-0.674,2.666
171481,-0.605,2.734
171647,-0.693,2.803
171813,-0.615,2.852
171979,-0.723,2.891
172145,-0.654,2.900
172311,-0.791,2.900
172477,-0.811,2.861
172643,-0.713,2.783
172809,-0.732,2.617
172975,-0.811,2.510
173141,-0.840,2.402
173307,-0.771,2.275
173473,-0.752,2.158
173639,-0.811,2.041
173805,-0.684,1.934
173971,-0.781,1.797
174137,-0.732,1.670
174303,-0.771,1.504
174469,-0.723,1.348
174635,-0.723,1.172
174801,-0.654,0.977
174967,-0.703,0.771
175133,-0.664,0.605
175299,-0.713,0.439
175465,-0.674,0.273
175631,-0.645,0.137
175797,-0.664,-0.039
175963,-0.752,-0.186
176129,-0.693,-0.361
176295,-0.586,-0.498
176461,-0.537,-0.645
176627,-0.596,-0.781
176793,-0.488,-0.908
176959,-0.420,-1.045
177125,-0.391,-1.143
177291,-0.439,-1.240
177457,-0.391,-1.338
177623,-0.166,-1.426
177789,-0.195,-1.514
177955,-0.010,-1.611
178121,-0.029,-1.680
178287,0.000,-1.758
178453,-0.068,-1.846
178619,0.029,-1.924
178785,-0.020,-2.002
178951,0.146,-2.090
179117,0.186,-2.139
179283,0.273,-2.207
179449,0.215,-2.246
179615,0.293,-2.295
179781,0.293,-2.354
179947,0.342,-2.373
180113,0.293,-2.422
180279,0.391,-2.461
180445,0.381,-2.510
180611,0.420,-2.529
180777,0.371,-2.568
180943,0.361,-2.588
181109,0.449,-2.637
181275,0.527,-2.666
181441,0.459,-2.725
181607,0.459,-2.783
181773,0.479,-2.852
181939,0.459,-2.910
182105,0.537,-2.939
182271,0.527,-2.939
182437,0.527,-2.900
182603,0.508,-2.871
182769,0.645,-2.725
182935,0.498,-2.588
183101,0.635,-2.461
183267,0.576,-2.354
183433,0.498,-2.236
183599,0.664,-2.129
183765,0.527,-1.992
183931,0.605,-1.875
184097,0.576,-1.709
184263,0.527,-1.582
184429,0.537,-1.416
184595,0.625,-1.240
184761,0.527,-1.074
184927,0.596,-0.850
185093,0.566,-0.674
185259,0.547,-0.508
185425,0.469,-0.342
185591,0.527,-0.176
185757,0.459,-0.020
185923,0.459,0.127
186089,0.508,0.303
186255,0.410,0.449
186421,0.420,0.605
186587,0.361,0.732
186753,0.352,0.859
186919,0.430,0.986
187085,0.244,1.094
187251,0.254,1.191
187417,0.215,1.299
187583,0.107,1.396
187749,0.039,1.475
187915,-0.117,1.572
188081,-0.107,1.650
188247,-0.166,1.719
188413,-0.127,1.816
188579,-0.264,1.895
188745,-0.293,1.953
188911,-0.313,2.041
189077,-0.352,2.119
189243,-0.400,2.168
189409,-0.352,2.227
189575,-0.400,2.266
189741,-0.469,2.305
