,Канал: 0,Канал: 1
50727,0.586,-2.021
50838,0.527,-1.924
50949,0.508,-1.826
51060,0.498,-1.719
51171,0.557,-1.631
51282,0.537,-1.514
51393,0.488,-1.387
51504,0.664,-1.260
51615,0.576,-1.133
51726,0.488,-1.006
51837,0.537,-0.869
51948,0.547,-0.762
52059,0.586,-0.635
52170,0.518,-0.518
52281,0.498,-0.410
52392,0.459,-0.293
52503,0.488,-0.186
52614,0.566,-0.059
52725,0.557,0.020
52836,0.566,0.146
52947,0.488,0.234
53058,0.498,0.361
53169,0.547,0.469
53280,0.518,0.557
53391,0.381,0.664
53502,0.439,0.762
53613,0.410,0.830
53724,0.283,0.928
53835,0.313,1.016
53946,0.332,1.064
54057,0.215,1.152
54168,0.195,1.221
54279,0.156,1.299
54390,0.059,1.367
54501,0.117,1.436
54612,0.000,1.494
54723,0.059,1.543
54834,-0.078,1.611
54945,-0.107,1.670
55056,-0.156,1.719
55167,-0.029,1.787
55278,-0.146,1.826
55389,-0.264,1.875
55500,-0.254,1.934
55611,-0.313,2.012
55722,-0.264,2.031
55833,-0.234,2.100
55944,-0.322,2.139
56055,-0.293,2.188
56166,-0.400,2.236
56277,-0.352,2.266
56388,-0.439,2.305
56499,-0.332,2.334
56610,-0.449,2.363
56721,-0.449,2.393
56832,-0.449,2.402
56943,-0.459,2.451
57054,-0.488,2.461
57165,-0.508,2.490
57276,-0.537,2.520
57387,-0.586,2.539
57498,-0.449,2.578
57609,-0.625,2.598
57720,-0.547,2.627
57831,-0.674,2.656
57942,-0.518,2.686
58053,-0.674,2.744
58164,-0.625,2.773
58275,-0.576,2.832
58386,-0.703,2.871
58497,-0.596,2.930
58608,-0.664,2.979
58719,-0.654,3.027
58830,-0.615,3.037
58941,-0.781,3.047
59052,-0.713,3.057
59163,-0.781,3.037
59274,-0.713,3.008
59385,-0.830,2.959
59496,-0.762,2.910
59607,-0.938,2.793
59718,-0.762,2.705
59829,-0.801,2.637
59940,-0.762,2.559
60051,-0.801,2.480
60162,-0.723,2.412
60273,-0.781,2.314
60384,-0.742,2.246
60495,-0.684,2.168
60606,-0.771,2.080
60717,-0.635,1.992
60828,-0.732,1.895
60939,-0.703,1.787
61050,-0.752,1.709
61161,-0.762,1.592
61272,-0.596,1.494
61383,-0.771,1.377
61494,-0.713,1.250
61605,-0.723,1.123
61716,-0.762,0.986
61827,-0.762,0.859
61938,-0.693,0.732
62049,-0.664,0.605
62160,-0.703,0.508
62271,-0.674,0.400
62382,-0.625,0.273
62493,-0.771,0.176
62604,-0.645,0.068
62715,-0.674,-0.049
62826,-0.605,-0.146
62937,-0.664,-0.254
63048,-0.645,-0.361
63159,-0.752,-0.459
63270,-0.576,-0.576
63381,-0.674,-0.664
63492,-0.654,-0.762
63603,-0.586,-0.859
63714,-0.576,-0.947
63825,-0.547,-1.035
63936,-0.488,-1.113
64047,-0.400,-1.172
64158,-0.488,-1.260
64269,-0.371,-1.318
64380,-0.371,-1.377
64491,-0.332,-1.436
64602,-0.234,-1.504
64713,-0.244,-1.572
64824,-0.146,-1.621
64935,-0.127,-1.680
65046,-0.117,-1.738
65157,-0.049,-1.777
65268,0.059,-1.836
65379,-0.039,-1.895
65490,0.029,-1.943
65601,0.068,-1.992
65712,0.137,-2.061
65823,0.205,-2.109
65934,0.068,-2.168
66045,0.205,-2.207
66156,0.244,-2.236
66267,0.205,-2.275
66378,0.225,-2.314
66489,0.225,-2.354
66600,0.322,-2.383
66711,0.283,-2.412
66822,0.234,-2.441
66933,0.283,-2.461
67044,0.332,-2.490
67155,0.342,-2.510
67266,0.420,-2.559
67377,0.371,-2.568
67488,0.322,-2.598
67599,0.410,-2.598
67710,0.332,-2.656
67821,0.342,-2.676
67932,0.430,-2.705
68043,0.469,-2.754
68154,0.449,-2.783
68265,0.508,-2.842
68376,0.391,-2.900
68487,0.439,-2.949
68598,0.420,-2.998
68709,0.479,-3.027
68820,0.488,-3.057
68931,0.518,-3.086
69042,0.566,-3.086
69153,0.488,-3.086
69264,0.508,-3.066
69375,0.635,-3.027
69486,0.547,-2.988
69597,0.664,-2.900
69708,0.615,-2.793
69819,0.605,-2.705
69930,0.586,-2.627
70041,0.645,-2.539
70152,0.586,-2.451
70263,0.586,-2.373
70374,0.605,-2.295
70485,0.596,-2.217
70596,0.586,-2.119
70707,0.518,-2.041
70818,0.596,-1.963
70929,0.576,-1.855
71040,0.537,-1.758
71151,0.596,-1.650
71262,0.576,-1.533
71373,0.508,-1.426
71484,0.576,-1.309
71595,0.654,-1.182
71706,0.576,-1.035
71817,0.527,-0.918
71928,0.566,-0.781
72039,0.518,-0.664
72150,0.586,-0.547
72261,0.566,-0.420
72372,0.547,-0.322
72483,0.527,-0.205
72594,0.488,-0.098
72705,0.537,0.000
72816,0.498,0.107
72927,0.498,0.234
73038,0.527,0.322
73149,0.518,0.439
73260,0.391,0.547
73371,0.352,0.625
73482,0.371,0.732
73593,0.479,0.820
73704,0.381,0.928
73815,0.371,0.986
73926,0.264,1.055
74037,0.322,1.133
