,Канал: 0,Канал: 1
125750,0.518,-2.227
126000,0.557,-2.002
126250,0.537,-1.748
126500,0.566,-1.445
126750,0.557,-1.133
127000,0.566,-0.811
127250,0.439,-0.527
127500,0.635,-0.254
127750,0.439,0.000
128000,0.527,0.273
128250,0.430,0.518
128500,0.439,0.762
128750,0.459,0.977
129000,0.244,1.172
129250,0.166,1.348
129500,0.088,1.514
129750,0.010,1.680
130000,-0.098,1.816
130250,-0.098,1.953
130500,-0.322,2.090
130750,-0.361,2.217
131000,-0.420,2.334
131250,-0.439,2.451
131500,-0.518,2.529
131750,-0.518,2.617
132000,-0.664,2.656
132250,-0.615,2.725
132500,-0.693,2.803
132750,-0.742,2.861
133000,-0.674,2.959
133250,-0.693,3.057
133500,-0.664,3.184
133750,-0.732,3.281
134000,-0.781,3.340
134250,-0.869,3.301
134500,-0.889,3.203
134750,-0.889,2.969
135000,-0.928,2.783
135250,-0.898,2.588
135500,-0.947,2.402
135750,-0.908,2.188
136000,-0.830,1.963
136250,-0.879,1.699
136500,-0.811,1.406
136750,-0.811,1.084
137000,-0.879,0.771
137250,-0.830,0.498
137500,-0.830,0.225
137750,-0.850,-0.039
138000,-0.723,-0.293
138250,-0.820,-0.557
138500,-0.859,-0.771
138750,-0.713,-1.025
139000,-0.674,-1.201
139250,-0.566,-1.377
139500,-0.381,-1.533
139750,-0.225,-1.689
140000,-0.234,-1.836
140250,-0.107,-1.973
140500,-0.039,-2.100
140750,0.039,-2.227
141000,0.029,-2.354
141250,0.127,-2.461
141500,0.195,-2.549
141750,0.176,-2.627
142000,0.293,-2.695
142250,0.195,-2.764
142500,0.439,-2.822
142750,0.342,-2.881
143000,0.352,-2.969
143250,0.479,-3.066
143500,0.479,-3.184
143750,0.498,-3.301
144000,0.605,-3.350
144250,0.537,-3.350
144500,0.664,-3.262
144750,0.664,-3.027
145000,0.723,-2.822
145250,0.557,-2.627
145500,0.537,-2.432
145750,0.684,-2.227
146000,0.527,-1.992
146250,0.508,-1.738
146500,0.615,-1.445
146750,0.479,-1.123
147000,0.586,-0.820
147250,0.430,-0.527
147500,0.645,-0.254
147750,0.508,0.020
148000,0.557,0.264
148250,0.508,0.527
148500,0.469,0.771
148750,0.498,0.986
149000,0.332,1.172
149250,0.234,1.338
149500,0.078,1.523
149750,0.000,1.680
150000,-0.117,1.826
150250,-0.361,1.963
150500,-0.342,2.100
150750,-0.371,2.207
151000,-0.469,2.344
151250,-0.449,2.451
151500,-0.459,2.539
151750,-0.566,2.617
152000,-0.605,2.666
152250,-0.576,2.734
152500,-0.693,2.803
152750,-0.635,2.871
153000,-0.664,2.949
153250,-0.674,3.057
153500,-0.840,3.193
153750,-0.801,3.281
154000,-0.781,3.330
154250,-0.771,3.311
154500,-0.898,3.213
154750,-0.830,2.959
155000,-0.869,2.783
155250,-0.879,2.588
155500,-0.938,2.402
155750,-0.869,2.188
156000,-0.918,1.943
156250,-0.859,1.699
156500,-0.859,1.396
156750,-0.811,1.074
157000,-0.850,0.781
157250,-0.859,0.498
157500,-0.840,0.234
157750,-0.791,-0.049
158000,-0.791,-0.303
158250,-0.830,-0.557
158500,-0.742,-0.771
158750,-0.791,-1.006
159000,-0.518,-1.191
159250,-0.566,-1.377
159500,-0.557,-1.533
159750,-0.293,-1.670
160000,-0.234,-1.846
160250,-0.117,-1.963
160500,0.049,-2.100
160750,0.088,-2.217
161000,0.088,-2.344
161250,0.049,-2.451
161500,0.127,-2.559
161750,0.117,-2.627
162000,0.303,-2.695
162250,0.215,-2.764
162500,0.244,-2.822
162750,0.322,-2.881
163000,0.352,-2.959
163250,0.391,-3.066
163500,0.410,-3.184
163750,0.508,-3.281
164000,0.537,-3.340
164250,0.527,-3.320
164500,0.488,-3.252
164750,0.566,-3.027
165000,0.605,-2.832
165250,0.498,-2.617
165500,0.576,-2.432
165750,0.537,-2.207
166000,0.488,-1.992
166250,0.439,-1.729
166500,0.547,-1.445
166750,0.488,-1.133
167000,0.615,-0.820
167250,0.508,-0.537
167500,0.518,-0.264
167750,0.557,0.020
168000,0.439,0.264
168250,0.537,0.508
168500,0.430,0.762
168750,0.361,0.977
169000,0.273,1.162
169250,0.205,1.338
169500,0.107,1.514
169750,-0.029,1.680
170000,-0.127,1.816
170250,-0.186,1.953
170500,-0.273,2.080
170750,-0.293,2.217
171000,-0.449,2.344
171250,-0.439,2.441
171500,-0.488,2.520
171750,-0.420,2.607
172000,-0.615,2.666
172250,-0.693,2.734
172500,-0.791,2.803
172750,-0.742,2.861
173000,-0.635,2.939
173250,-0.693,3.057
173500,-0.850,3.174
173750,-0.781,3.271
174000,-0.830,3.330
174250,-0.723,3.311
174500,-0.869,3.213
174750,-0.811,2.969
175000,-0.938,2.783
175250,-0.850,2.588
175500,-0.938,2.393
175750,-0.908,2.188
176000,-0.840,1.943
176250,-0.820,1.689
176500,-0.859,1.406
176750,-0.771,1.084
177000,-0.830,0.771
177250,-0.811,0.488
177500,-0.908,0.234
177750,-0.801,-0.029
178000,-0.781,-0.303
178250,-0.801,-0.547
178500,-0.674,-0.781
178750,-0.654,-1.006
179000,-0.625,-1.211
179250,-0.488,-1.367
