ангстремы	R	G_1	G_2	B
4823.968052	-172.008947	-103.022923	-106.251840	-66.541487
4823.998681	-172.018806	-102.947380	-106.222176	-66.436766
4824.029311	-172.009646	-102.873426	-106.156063	-66.362163
4824.059942	-171.990977	-102.777289	-106.121648	-66.262206
4824.090573	-171.981818	-102.674818	-106.103083	-66.157501
4824.121205	-172.013861	-102.583445	-106.094026	-66.087664
4824.151839	-172.037979	-102.561801	-106.027922	-66.024169
4824.182472	-172.054173	-102.554420	-105.903191	-65.971770
4824.213107	-172.090965	-102.592993	-105.748358	-65.898774
4824.243742	-172.096064	-102.612548	-105.614132	-65.847965
4824.274378	-172.110670	-102.649533	-105.494174	-65.833603
4824.305015	-172.126860	-102.700775	-105.420171	-65.743187
4824.335653	-172.135126	-102.742508	-105.387367	-65.633762
4824.366292	-172.165573	-102.792161	-105.322876	-65.597224
4824.396931	-172.192850	-102.844980	-105.231455	-65.562273
4824.427571	-172.199529	-102.934234	-105.144792	-65.544750
4824.458212	-172.209376	-102.963283	-105.067638	-65.543071
4824.488854	-172.214470	-103.009756	-105.050689	-65.501787
4824.519496	-172.195801	-103.002365	-105.076513	-65.477931
4824.550139	-172.232577	-103.020320	-105.080158	-65.422393
4824.580783	-172.250342	-103.014512	-105.096475	-65.373194
4824.611428	-172.255434	-102.983360	-105.089030	-65.373103
4824.642074	-172.273197	-102.941122	-105.059410	-65.365092
4824.672720	-172.279871	-102.878294	-105.061470	-65.309562
4824.703367	-172.273874	-102.843979	-105.092041	-65.252452
4824.734015	-172.253621	-102.749479	-105.117859	-65.158914
4824.764664	-172.236537	-102.681908	-105.175352	-65.044791
4824.795314	-172.232125	-102.536734	-105.167906	-64.982940
4824.825964	-172.249885	-102.405822	-105.119283	-64.895751
4824.856615	-172.205878	-102.243241	-105.061159	-64.838658
4824.887267	-172.165041	-102.074334	-105.014124	-64.692881
4824.917919	-172.168549	-101.911771	-104.978176	-64.536026
4824.948573	-172.153052	-101.791972	-104.937480	-64.369677
4824.979227	-172.143891	-101.699101	-104.888868	-64.189085
4825.009882	-172.150564	-101.591982	-104.841842	-63.984748
4825.040538	-172.165155	-101.502287	-104.782150	-63.854846
4825.071194	-172.176578	-101.392012	-104.724044	-63.742369
4825.101852	-172.159499	-101.367247	-104.719778	-63.609313
4825.132510	-172.112337	-101.318732	-104.736095	-63.517431
4825.163169	-172.109510	-101.267052	-104.766661	-63.392304
4825.193829	-172.095601	-101.239125	-104.762393	-63.374847
4825.224489	-172.034194	-101.234947	-104.735960	-63.363724
4825.255151	-172.009204	-101.189607	-104.719027	-63.360517
4825.285813	-171.960468	-101.130020	-104.686264	-63.431719
4825.316475	-171.902235	-101.062520	-104.620256	-63.517165
4825.347139	-171.845588	-101.061514	-104.566916	-63.499706
4825.377804	-171.779446	-101.082669	-104.483502	-63.455337
4825.408469	-171.727553	-101.064249	-104.377929	-63.417302
4825.439135	-171.700991	-101.064825	-104.283443	-63.330197
4825.469802	-171.653852	-101.076481	-104.200041	-63.271589
4825.500469	-171.647870	-101.072308	-104.141970	-63.144920
4825.531138	-171.660882	-101.030147	-104.099730	-63.002429
4825.561807	-171.645403	-100.989570	-104.046413	-62.882105
4825.592477	-171.659998	-100.953744	-104.016839	-62.698476
4825.623147	-171.682504	-100.913172	-104.009425	-62.510109
4825.653819	-171.695514	-100.795050	-104.021004	-62.370814
4825.684491	-171.719601	-100.680100	-104.049990	-62.256848
4825.715164	-171.748434	-100.558825	-104.078975	-62.128645
4825.745838	-171.783596	-100.453381	-104.082638	-62.044760
4825.776513	-171.825086	-100.359021	-104.056233	-61.946636
4825.807188	-171.822264	-100.282072	-103.987102	-61.903904
4825.837865	-171.817860	-100.236776	-103.935381	-61.864339
4825.868542	-171.841939	-100.216801	-103.883663	-61.807370
4825.899219	-171.878676	-100.201573	-103.816124	-61.775721
4825.929898	-171.902752	-100.170523	-103.750170	-61.739326
4825.960577	-171.934738	-100.147386	-103.649410	-61.710845
4825.991257	-171.960393	-100.098934	-103.532833	-61.698188
4826.021938	-171.979718	-100.085293	-103.405186	-61.701353
4826.052620	-171.976892	-100.024188	-103.269635	-61.698189
4826.083303	-171.964573	-99.964668	-103.159404	-61.691861
4826.113986	-171.964911	-99.909898	-103.112462	-61.653892
4826.144670	-171.977905	-99.828235	-103.030718	-61.623835
4826.175355	-171.967168	-99.711773	-102.953723	-61.604854
4826.206041	-171.916883	-99.601645	-102.903625	-61.543161
4826.236727	-171.888748	-99.512086	-102.825056	-61.513109
4826.267414	-171.865359	-99.473153	-102.767055	-61.505204
4826.298102	-171.865698	-99.469021	-102.721711	-61.471991
4826.328791	-171.864456	-99.407945	-102.696933	-61.419798
4826.359481	-171.858468	-99.406978	-102.684809	-61.361281
4826.390171	-171.854062	-99.394939	-102.674268	-61.304348
4826.420862	-171.860728	-99.349686	-102.638421	-61.237928
4826.451554	-171.827853	-99.326578	-102.637371	-61.163604
4826.482247	-171.790234	-99.308215	-102.656882	-61.084538
4826.512941	-171.773177	-99.272457	-102.641598	-61.075064
4826.543635	-171.748214	-99.241445	-102.683248	-61.041868
4826.574330	-171.726414	-99.161409	-102.728059	-60.975463
4826.605026	-171.665080	-99.071888	-102.766542	-60.918550
4826.635723	-171.622726	-99.051953	-102.801860	-60.882198
4826.666420	-171.589861	-99.014624	-102.862478	-60.831616
4826.697118	-171.571230	-98.985203	-102.904117	-60.776292
4826.727817	-171.568412	-98.987409	-102.907803	-60.754177
4826.758517	-171.608287	-98.973802	-102.902002	-60.765269
4826.789218	-171.656065	-98.998144	-102.870902	-60.789010
4826.819919	-171.703841	-99.027229	-102.842967	-60.809587
4826.850621	-171.737385	-99.068960	-102.778667	-60.849136
4826.881324	-171.755116	-99.126500	-102.712789	-60.890264
4826.912028	-171.801304	-99.166645	-102.646915	-60.904513
4826.942733	-171.841165	-99.148292	-102.574720	-60.925085
4826.973438	-171.901577	-99.114131	-102.485138	-60.967789
4827.004144	-171.961985	-99.054678	-102.397142	-61.029461
4827.034851	-171.995516	-98.950963	-102.354995	-61.076902
4827.065559	-172.002171	-98.867804	-102.279653	-61.111694
