U[V], I[uA]
41.83, 325.8
42.2, 325.8
42.2, 323.4
42.23, 323.4
42.23, 323.3
42.24, 323.3
42.24, 323.4
42.25, 323.4
42.25, 323.6
42.25, 323.7
42.22, 323.7
42.22, 323.8
42.54, 323.8
42.54, 322.1
42.55, 322.1
42.55, 322.0
42.55, 322.1
42.55, 322.2
42.55, 322.3
42.55, 322.2
42.76, 322.2
42.76, 321.9
42.78, 321.9
42.78, 322.0
42.78, 322.1
42.78, 322.2
43.23, 322.2
43.23, 320.5
43.25, 320.5
43.25, 320.4
43.25, 320.5
43.25, 320.6
43.25, 320.7
43.08, 320.7
43.1, 320.7
43.1, 320.8
43.11, 320.8
43.11, 320.6
43.1, 320.6
43.1, 320.8
43.34, 320.8
43.34, 319.2
43.68, 319.2
43.69, 319.2
43.69, 319.8
43.69, 319.0
43.69, 319.1
43.69, 319.3
43.7, 319.3
43.7, 319.5
43.7, 319.9
43.7, 319.4
43.69, 319.4
43.69, 319.3
43.69, 319.5
43.68, 319.5
43.68, 319.8
43.68, 319.6
43.78, 319.6
43.73, 319.6
43.73, 318.8
44.08, 318.8
44.08, 319.8
44.08, 319.0
44.11, 319.0
44.11, 319.8
44.12, 319.5
44.12, 319.4
44.13, 319.4
44.14, 319.4
44.14, 319.5
44.15, 319.5
44.1, 319.5
44.1, 319.8
44.2, 319.8
44.2, 319.5
44.25, 319.5
44.25, 319.4
44.26, 319.4
44.26, 319.5
44.26, 319.3
44.26, 319.0
44.23, 319.0
44.24, 319.0
44.25, 319.0
44.25, 318.0
44.25, 318.9
44.28, 318.9
45.07, 317.5
45.06, 317.5
45.06, 317.6
45.06, 317.7
45.07, 317.7
45.07, 317.9
45.07, 318.1
45.05, 318.1
45.05, 318.0
45.05, 318.1
45.05, 317.9
45.04, 317.9
45.04, 318.0
45.04, 317.9
45.25, 317.9
45.28, 317.9
45.28, 318.2
45.3, 318.2
45.3, 318.5
45.3, 318.4
45.3, 318.6
45.3, 318.8
45.31, 318.8
45.31, 318.7
45.31, 319.0
45.29, 319.0
45.29, 319.2
45.75, 319.2
45.75, 319.3
45.77, 319.3
45.78, 319.3
45.78, 319.2
45.78, 318.8
45.77, 318.8
45.77, 318.9
45.78, 318.9
45.78, 318.8
45.77, 318.8
45.72, 318.8
45.76, 318.8
45.76, 319.6
46.11, 319.6
46.11, 319.7
46.12, 319.7
46.12, 319.8
46.13, 319.8
46.13, 328.0
46.13, 320.0
46.13, 320.1
46.13, 319.9
46.12, 319.9
46.13, 319.9
46.12, 319.9
46.12, 320.7
46.71, 320.7
46.71, 322.8
46.73, 322.8
46.73, 322.9
46.73, 322.7
46.73, 322.9
46.73, 322.7
46.73, 323.0
46.75, 323.0
46.76, 323.0
46.76, 323.1
46.76, 324.9
47.28, 324.9
47.28, 325.7
47.29, 325.7
47.29, 325.8
47.29, 325.4
47.29, 325.5
47.29, 325.6
47.29, 325.7
47.3, 325.7
47.3, 325.8
47.3, 325.9
47.28, 325.9
47.28, 326.4
47.43, 326.4
47.43, 326.5
47.44, 326.5
47.45, 326.5
47.45, 326.6
47.48, 326.6
47.48, 327.2
47.45, 327.2
47.45, 326.8
47.45, 327.0
47.47, 327.0
47.47, 327.8
47.47, 327.6
47.99, 327.6
47.99, 331.6
48.25, 331.6
48.25, 331.8
48.27, 331.8
48.28, 331.8
48.28, 331.9
48.29, 331.9
48.29, 331.8
48.29, 332.0
48.29, 332.1
48.29, 332.2
48.29, 331.9
48.24, 331.9
48.24, 331.5
48.24, 331.1
48.36, 331.1
48.36, 332.5
48.49, 332.5
48.49, 332.9
48.51, 332.9
48.51, 333.0
48.51, 332.8
48.49, 332.8
48.5, 332.8
48.5, 332.9
48.5, 333.0
48.5, 333.1
48.5, 333.0
48.5, 333.1
48.82, 333.1
48.82, 334.9
48.89, 334.9
48.89, 335.0
48.9, 335.0
48.9, 335.3
48.92, 335.3
48.92, 336.2
48.92, 336.3
48.92, 336.1
48.92, 336.2
48.93, 336.2
48.93, 336.4
48.93, 336.3
48.92, 336.3
48.92, 336.1
48.91, 336.1
48.91, 336.2
48.91, 336.7
49.3, 336.7
49.3, 338.0
49.3, 337.6
49.29, 337.6
49.29, 337.3
49.3, 337.3
49.3, 337.5
